technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Skilful,Emotional,Low self-worth,Emotions,54,Mahendranagar
Opportunists,Incited,Radical,Revenge,30,Tulsipur
Strategic planners,Immoral/ Unethical,Reinforcement available,"Concealed
existence",48,Kathmandu
Well-trained,Impatient,Need to outsmart others,"Greed (easy, quick money)",24,Lalitpur
Skilful,Insensitive,Reinforcement available,Political beliefs,25,Tulsipur
Opportunists,Identity crisis,Social dissatisfaction,No fear of punishment,55,Nepalgunj
Bully,Incited,Brain-washed,Emotions,50,Kathmandu
Creative,"Psychologically
Deviant",Mass-destruction,Emotions,43,Kalaiya
Opportunists,Strong-willed,Brain-washed,Disregard for law,29,Janakpur
Well trained,Aggressive,Socially inept,No fear of punishment,48,Lalitpur
Well-networked,Emotional,Rationalization,Intolerance,19,Butwal
Sharp (intelligent),Vengeful,"Insufficient social
support",Emotions,38,Ghorahi
Sharp (intelligent),Risk-taker,Rationalization,Emotions,51,Tulsipur
Well-trained,Chaotic state of mind,Radical,Manipulate others,53,Kathmandu
Well trained,Coercive,Reinforcement available,"Greed (easy, quick money)",29,Itahari
Well-networked,Incited,Anti-state,"Enhancing self-
worth",62,Dhangadi
Smart,Determined,"Insufficient social
support","Religious
fundamentalism",59,Nepalgunj
Skilful,Aggressive,Radical,Political beliefs,42,Itahari
Well-trained,Risk-taker,Mass-destruction,No fear of punishment,44,Birgunj
Creative,Impatient,Intolerance to diversity of opinion,Revenge,59,Kathmandu
Focussed,Emotional,"Insufficient social
support",Plain boredom,22,Biratnagar
Creative,Conviction in Violence,Reinforcement available,Anger,32,Dharan
Smart,Conviction in Violence,Broken homes/families,"Greed (easy, quick money)",59,Ghorahi
Goal oriented,Coercive,Radical,"Greed (easy, quick money)",59,Biratnagar
Well-trained,Insensitive,Lack Social skills,Thrill-seeking,65,Itahari
Bully,Psychiatric conditions,Rationalization,Lust,16,Lalitpur
Well-networked,Conviction in Violence,Need to outsmart others,Monetary Gain,19,Kalaiya
Strategic planners,Immoral/ Unethical,Socially inept,Risk tolerance,39,Kalaiya
Focussed,Incited,Brain-washed,"Greed (easy, quick money)",23,Kalaiya
Resourceful,Conviction in Violence,Lack Social skills,Revenge,42,Jitpur
Skilful,Incited,Brain-washed,Manipulate others,60,Dhangadi
Strategic planners,Loner,Rebellious,Intolerance,59,Lalitpur
Bully,Aggressive,Lack Social skills,Risk tolerance,22,Bharatpur
Creative,Strong-willed,Brain-washed,Anger,27,Biratnagar
Well-trained,Identity crisis,Mass-destruction,Plain boredom,59,Mahendranagar
Well-networked,Immoral/ Unethical,Anti-state,Lust,65,Biratnagar
Opportunists,Chaotic state of mind,Need to outsmart others,Lust,40,Janakpur
Resourceful,Inhuman Psyche,Misguided,No fear of punishment,45,Birgunj
Resourceful,Insensitive,Lack Social skills,Risk tolerance,47,Dhangadi
Resourceful,Strong-willed,Intolerance to diversity of opinion,Lust,22,Jitpur
Well-networked,Loner,Marginalised,No fear of punishment,33,Mahendranagar
Goal oriented,Chaotic state of mind,Socially inept,"Concealed
existence",16,Tulsipur
Sharp (intelligent),Psychiatric conditions,Low self-worth,"Enhancing self-
worth",39,Itahari
Skilful,Strong-willed,Anti-establishment,Experimentation,40,Butwal
Resourceful,Vengeful,Broken homes/families,"Concealed
existence",50,Pokhara
Well trained,Immoral/ Unethical,Unlawful,Need to Control others,34,Kalaiya
Goal oriented,Conviction in Violence,Social dissatisfaction,Emotions,25,Kathmandu
Resourceful,Gullible,Misguided,Political beliefs,19,Bharatpur
Smart,Control freak,Anti-social,Lust,26,Bharatpur
Well-trained,Gullible,"Insufficient social
support",Thrill-seeking,30,Hetauda
Well-organized,Passionate,Anti-state,Need to Control others,57,Hetauda
Opportunists,Gullible,Reinforcement available,"Religious
fundamentalism",42,Itahari
Strategic planners,Aggressive,Anti-social,Plain boredom,45,Ghorahi
Bully,Coercive,Brain-washed,"Enhancing self-
worth",53,Kathmandu
Sharp (intelligent),Loner,Mass-destruction,Experimentation,34,Birgunj
Well-trained,"Psychologically
Deviant",Anti-establishment,Plain boredom,52,Bhaktapur
Resourceful,Psychiatric conditions,Rationalization,Curiosity,43,Bhaktapur
Strategic planners,Aggressive,Radical,"Greed (easy, quick money)",56,Ghorahi
Opportunists,Impatient,Reinforcement available,No fear of punishment,42,Bharatpur
Skilful,Control freak,Social dissatisfaction,Disregard for law,52,Ghorahi
Goal oriented,Insensitive,Intolerance to diversity of opinion,Experimentation,29,Janakpur
Resourceful,Passionate,Intolerance to diversity of opinion,Risk tolerance,41,Dhangadi
Focussed,Conviction in Violence,Radical,Need to Control others,22,Tulsipur
Creative,"Psychologically
Deviant",Need to outsmart others,Experimentation,24,Biratnagar
Resourceful,Incited,Marginalised,Experimentation,33,Janakpur
Opportunists,Coercive,Marginalised,Intolerance,21,Bhaktapur
Bully,Insensitive,Intolerance to diversity of opinion,Lust,23,Bharatpur
Skilful,Coward,Unlawful,Disregard for law,51,Bharatpur
Well trained,Conviction in Violence,Brain-washed,Thrill-seeking,24,Biratnagar
Goal oriented,Psychiatric conditions,Rationalization,Intolerance,54,Kathmandu
Opportunists,Psychiatric conditions,Rationalization,Revenge,26,Lalitpur
Resourceful,Inhuman Psyche,Misguided,Emotions,28,Jitpur
Strategic planners,Insensitive,Intolerance to diversity of opinion,"Concealed
existence",53,Lalitpur
Opportunists,Immoral/ Unethical,Anti-social,No fear of punishment,21,Dharan
Well-organized,Insensitive,Reinforcement available,Monetary Gain,54,Mahendranagar
Smart,Chaotic state of mind,"Insufficient social
support",Manipulate others,51,Mahendranagar
Goal oriented,Psychiatric conditions,Anti-social,Curiosity,50,Dhangadi
Creative,"Psychologically
Deviant",Lack Social skills,Curiosity,16,Nepalgunj
Sharp (intelligent),Secretive,Rebellious,Political support,35,Nepalgunj
Well-organized,Insensitive,Brain-washed,Experimentation,24,Pokhara
Well trained,Risk-taker,Brain-washed,Experimentation,16,Kalaiya
Skilful,Insensitive,Rebellious,Revenge,44,Tulsipur
Skilful,Impatient,Broken homes/families,"Concealed
existence",36,Bhaktapur
Goal oriented,Psychiatric conditions,Radical,Thrill-seeking,65,Janakpur
Strategic planners,Insensitive,Socially inept,"Greed (easy, quick money)",47,Tulsipur
Well-networked,Inhuman Psyche,Socially inept,Disregard for law,29,Nepalgunj
Bully,Strong-willed,Social dissatisfaction,"Religious
fundamentalism",53,Ghorahi
Bully,Coercive,Need to outsmart others,Disregard for law,60,Nepalgunj
Sharp (intelligent),"Psychologically
Deviant",Unlawful,Plain boredom,21,Janakpur
Strategic planners,"Psychologically
Deviant",Low self-worth,Thrill-seeking,41,Kathmandu
Well-trained,Vengeful,Anti-state,Political beliefs,61,Tulsipur
Well-organized,Emotional,Radical,Political support,58,Janakpur
Well-organized,Control freak,Need to outsmart others,Political beliefs,40,Tulsipur
Opportunists,Psychiatric conditions,Social dissatisfaction,"Enhancing self-
worth",57,Butwal
Bully,Immoral/ Unethical,Reinforcement available,Manipulate others,55,Lalitpur
Well trained,Vengeful,Anti-state,Lust,24,Biratnagar
Smart,Inhuman Psyche,Anti-state,"Greed (easy, quick money)",62,Mahendranagar
Well-networked,Determined,Lack Social skills,Risk tolerance,17,Butwal
Smart,Secretive,Socially inept,Emotions,18,Bharatpur
Well-trained,Incited,Anti-social,Need to Control others,46,Hetauda
Smart,Aggressive,Rebellious,Anger,17,Butwal
Smart,Impatient,Low self-worth,Political support,57,Butwal
Creative,Coward,Anti-state,Risk tolerance,25,Birgunj
Skilful,Secretive,Inferiority complex,Plain boredom,61,Kathmandu
Smart,"Psychologically
Deviant",Inferiority complex,"Religious
fundamentalism",23,Bharatpur
Well-trained,Selfish,Rebellious,No fear of punishment,41,Hetauda
Strategic planners,Chaotic state of mind,Need to outsmart others,Plain boredom,44,Birgunj
Well-networked,Conviction in Violence,Anti-social,Lust,55,Pokhara
Skilful,"Psychologically
Deviant",Socially inept,Manipulate others,59,Birgunj
Well-networked,Coward,Rationalization,"Enhancing self-
worth",64,Pokhara
Well-organized,Risk-taker,Inferiority complex,Political beliefs,58,Kathmandu
Focussed,Conviction in Violence,Lack Social skills,Revenge,28,Birgunj
Smart,Coward,Intolerance to diversity of opinion,"Concealed
existence",42,Jitpur
Resourceful,Emotional,Brain-washed,No fear of punishment,60,Bhaktapur
Smart,Loner,Anti-state,"Greed (easy, quick money)",22,Butwal
Creative,Insensitive,Marginalised,Disregard for law,48,Biratnagar
Focussed,Risk-taker,Anti-social,Political support,53,Birgunj
Well-networked,Determined,Marginalised,Intolerance,56,Ghorahi
Bully,Determined,Broken homes/families,Thrill-seeking,44,Nepalgunj
Strategic planners,Incited,Need to outsmart others,Anger,26,Ghorahi
Goal oriented,Insensitive,Anti-social,Curiosity,32,Jitpur
Focussed,Immoral/ Unethical,Unlawful,Risk tolerance,23,Nepalgunj
Focussed,Strong-willed,Misguided,Risk tolerance,52,Dharan
Skilful,Loner,Radical,"Concealed
existence",59,Kalaiya
Opportunists,Passionate,Need to outsmart others,"Enhancing self-
worth",35,Biratnagar
Smart,Inhuman Psyche,Need to outsmart others,No fear of punishment,50,Dharan
Sharp (intelligent),Identity crisis,Unlawful,"Greed (easy, quick money)",17,Lalitpur
Goal oriented,Inhuman Psyche,"Insufficient social
support",Manipulate others,42,Lalitpur
Skilful,Conviction in Violence,Social dissatisfaction,Risk tolerance,34,Lalitpur
Sharp (intelligent),Impatient,Lack Social skills,Plain boredom,24,Bharatpur
Skilful,"Psychologically
Deviant",Intolerance to diversity of opinion,Plain boredom,31,Bharatpur
Well-organized,Identity crisis,Misguided,Risk tolerance,60,Tulsipur
Well-trained,Incited,Rebellious,Thrill-seeking,26,Mahendranagar
Opportunists,Conviction in Violence,Mass-destruction,Thrill-seeking,62,Jitpur
Strategic planners,Control freak,Broken homes/families,Monetary Gain,22,Mahendranagar
Creative,Inhuman Psyche,Social dissatisfaction,Emotions,45,Tulsipur
Well-trained,Aggressive,Need to outsmart others,Political support,29,Birgunj
Skilful,Gullible,Social dissatisfaction,Revenge,17,Kalaiya
Well-networked,Chaotic state of mind,Marginalised,Experimentation,53,Dharan
Well-networked,Vengeful,Rebellious,No fear of punishment,31,Tulsipur
Sharp (intelligent),Passionate,Rebellious,Political beliefs,29,Biratnagar
Well-trained,Vengeful,Rationalization,Plain boredom,54,Biratnagar
Well-organized,Emotional,Rationalization,"Greed (easy, quick money)",25,Pokhara
Focussed,"Psychologically
Deviant",Need to outsmart others,Anger,44,Janakpur
Well trained,Incited,Inferiority complex,Political beliefs,39,Itahari
Skilful,Chaotic state of mind,Marginalised,Plain boredom,20,Janakpur
Skilful,Gullible,Lack Social skills,Curiosity,40,Tulsipur
Well trained,Aggressive,Brain-washed,Political beliefs,42,Kathmandu
Well-trained,Determined,Brain-washed,"Concealed
existence",32,Mahendranagar
Focussed,"Psychologically
Deviant",Low self-worth,Anger,55,Janakpur
Well-organized,Passionate,Need to outsmart others,Disregard for law,22,Kalaiya
Well-organized,Aggressive,Brain-washed,Curiosity,16,Birgunj
Well-trained,Chaotic state of mind,"Insufficient social
support","Enhancing self-
worth",35,Itahari
Sharp (intelligent),Loner,Rebellious,"Greed (easy, quick money)",42,Pokhara
Smart,Identity crisis,Rationalization,Disregard for law,20,Nepalgunj
Opportunists,Aggressive,Social dissatisfaction,Thrill-seeking,37,Hetauda
Sharp (intelligent),Conviction in Violence,Intolerance to diversity of opinion,Emotions,39,Butwal
Smart,Chaotic state of mind,Unlawful,Monetary Gain,17,Dharan
Strategic planners,Chaotic state of mind,Broken homes/families,Need to Control others,47,Mahendranagar
Well-trained,Conviction in Violence,"Insufficient social
support",Political support,64,Hetauda
Skilful,Coward,Brain-washed,"Enhancing self-
worth",51,Itahari
Well-organized,Incited,Intolerance to diversity of opinion,"Religious
fundamentalism",31,Bharatpur
Well trained,Chaotic state of mind,Marginalised,"Greed (easy, quick money)",40,Kalaiya
Well trained,Coercive,Need to outsmart others,Revenge,39,Butwal
Opportunists,Loner,Broken homes/families,Curiosity,36,Butwal
Well trained,Secretive,Rebellious,Political beliefs,22,Dhangadi
Focussed,Determined,Anti-establishment,No fear of punishment,31,Butwal
Opportunists,Risk-taker,Brain-washed,No fear of punishment,27,Lalitpur
Smart,Emotional,Unlawful,"Concealed
existence",35,Hetauda
Resourceful,Vengeful,Anti-establishment,"Concealed
existence",19,Kathmandu
Well trained,Identity crisis,Mass-destruction,No fear of punishment,46,Dhangadi
Goal oriented,Conviction in Violence,Marginalised,Plain boredom,61,Ghorahi
Resourceful,Insensitive,Anti-establishment,"Enhancing self-
worth",53,Itahari
Well-networked,Chaotic state of mind,Broken homes/families,Anger,24,Hetauda
Opportunists,Secretive,Need to outsmart others,Monetary Gain,43,Tulsipur
Focussed,Emotional,Intolerance to diversity of opinion,Manipulate others,63,Kalaiya
Creative,Identity crisis,Need to outsmart others,Disregard for law,22,Jitpur
Goal oriented,Secretive,Broken homes/families,Lust,21,Itahari
Bully,Risk-taker,Socially inept,Lust,29,Itahari
Sharp (intelligent),Loner,Anti-establishment,Need to Control others,52,Bhaktapur
Focussed,Aggressive,Socially inept,Experimentation,44,Dhangadi
Opportunists,Determined,Marginalised,Curiosity,60,Nepalgunj
Well-organized,Secretive,Rebellious,Intolerance,21,Jitpur
Creative,Psychiatric conditions,Rationalization,Curiosity,46,Nepalgunj
Bully,Psychiatric conditions,Low self-worth,Political support,34,Biratnagar
Well-trained,Determined,Rebellious,"Religious
fundamentalism",59,Birgunj
Focussed,Loner,Brain-washed,Disregard for law,50,Dhangadi
Well-trained,Gullible,Misguided,Manipulate others,64,Biratnagar
Bully,"Psychologically
Deviant",Unlawful,Anger,52,Bhaktapur
Well-trained,Insensitive,Anti-state,Monetary Gain,34,Hetauda
Smart,Risk-taker,Marginalised,Political beliefs,19,Butwal
Well-organized,Chaotic state of mind,Reinforcement available,Risk tolerance,57,Bhaktapur
Opportunists,Emotional,Social dissatisfaction,Political support,41,Jitpur
Bully,Conviction in Violence,"Insufficient social
support",Risk tolerance,50,Dharan
Focussed,Immoral/ Unethical,Misguided,"Greed (easy, quick money)",38,Lalitpur
Well trained,Emotional,Lack Social skills,Emotions,60,Janakpur
Well-organized,Incited,Lack Social skills,Need to Control others,17,Janakpur
Opportunists,Coercive,Brain-washed,Risk tolerance,45,Jitpur
Opportunists,Identity crisis,Anti-establishment,Experimentation,52,Ghorahi
Strategic planners,Inhuman Psyche,Inferiority complex,Curiosity,61,Pokhara
Goal oriented,Loner,Anti-state,Anger,35,Lalitpur
Smart,Impatient,Reinforcement available,Manipulate others,34,Dhangadi
Well-trained,Aggressive,Rebellious,Lust,20,Ghorahi
Focussed,Impatient,Marginalised,Experimentation,51,Lalitpur
Strategic planners,Strong-willed,Anti-social,"Religious
fundamentalism",36,Hetauda
Opportunists,Coward,Misguided,Plain boredom,60,Bhaktapur
Well-networked,Insensitive,Misguided,Curiosity,62,Dhangadi
Well trained,Coward,Need to outsmart others,Anger,64,Kathmandu
Smart,Selfish,Inferiority complex,Thrill-seeking,43,Kalaiya
Resourceful,Conviction in Violence,Broken homes/families,"Enhancing self-
worth",50,Pokhara
Smart,Secretive,Social dissatisfaction,Emotions,36,Dhangadi
Well-organized,Immoral/ Unethical,Unlawful,"Greed (easy, quick money)",23,Lalitpur
Bully,Identity crisis,Anti-state,Disregard for law,47,Lalitpur
Well-organized,Coercive,Reinforcement available,Plain boredom,21,Jitpur
Strategic planners,Gullible,Rationalization,"Concealed
existence",26,Bhaktapur
Sharp (intelligent),Secretive,Rebellious,Plain boredom,24,Pokhara
Skilful,Coward,Anti-state,Manipulate others,38,Pokhara
Smart,Insensitive,Low self-worth,Need to Control others,64,Itahari
Bully,Psychiatric conditions,Mass-destruction,"Concealed
existence",37,Nepalgunj
Well-trained,Selfish,Low self-worth,"Concealed
existence",35,Jitpur
Bully,Secretive,Need to outsmart others,"Concealed
existence",26,Pokhara
Focussed,Control freak,Mass-destruction,Political support,55,Ghorahi
Well-trained,Insensitive,Socially inept,Lust,51,Bhaktapur
Opportunists,Incited,Mass-destruction,Thrill-seeking,58,Janakpur
Opportunists,Psychiatric conditions,Unlawful,Intolerance,59,Bharatpur
Sharp (intelligent),Determined,Unlawful,"Greed (easy, quick money)",20,Hetauda
Well-organized,Emotional,Marginalised,"Enhancing self-
worth",30,Pokhara
Strategic planners,Inhuman Psyche,Reinforcement available,Manipulate others,19,Itahari
Creative,Insensitive,Need to outsmart others,Disregard for law,58,Jitpur
Focussed,Insensitive,Social dissatisfaction,Disregard for law,53,Ghorahi
Goal oriented,Strong-willed,Mass-destruction,"Religious
fundamentalism",57,Mahendranagar
Well-networked,Inhuman Psyche,Rebellious,Manipulate others,65,Nepalgunj
Well-networked,Insensitive,Mass-destruction,"Concealed
existence",24,Janakpur
Opportunists,Risk-taker,Anti-social,Plain boredom,39,Itahari
Creative,Risk-taker,Misguided,"Concealed
existence",54,Jitpur
Smart,Passionate,Anti-social,Need to Control others,57,Nepalgunj
Well trained,Determined,Social dissatisfaction,Disregard for law,40,Itahari
Smart,Aggressive,Marginalised,Anger,22,Lalitpur
Bully,Immoral/ Unethical,Lack Social skills,"Greed (easy, quick money)",37,Pokhara
Creative,Loner,"Insufficient social
support",Risk tolerance,56,Dhangadi
Focussed,Selfish,Need to outsmart others,Political support,48,Pokhara
Sharp (intelligent),Conviction in Violence,Need to outsmart others,Manipulate others,25,Dhangadi
Creative,Aggressive,Social dissatisfaction,Disregard for law,49,Kathmandu
Creative,Coward,Mass-destruction,"Concealed
existence",25,Dharan
Goal oriented,"Psychologically
Deviant",Reinforcement available,Anger,33,Nepalgunj
Skilful,Immoral/ Unethical,Intolerance to diversity of opinion,Emotions,63,Kalaiya
Resourceful,Selfish,Brain-washed,"Concealed
existence",33,Dharan
